date,categorie,produit,qte,CA
2024-02-20,Sport,Tapis yoga,1,658.36
2024-02-20,Mode,Veste hiver,2,1311.98
2024-02-21,Maison,Lampe LED,1,127.51
2024-02-21,Mode,Veste hiver,3,1869.57
2024-02-21,Bricolage,Perceuse,2,211.32
2024-02-22,Maison,Rideau occultant,1,96.15
2024-02-22,Sport,Haltères 10kg,3,294.9
2024-02-22,Sport,Raquette tennis,3,1906.71
2024-02-22,Mode,Jean homme,5,1361.35
2024-02-23,Électroménager,Cafetière,3,1176.72
2024-02-23,Électroménager,Cafetière,2,784.48
2024-02-23,Électroménager,Réfrigérateur,3,1162.11
2024-02-23,Sport,Chaussures running,1,569.53
2024-02-24,Maison,Étagère bois,5,1258.16
2024-02-24,Bricolage,Boîte à outils,3,249.63
2024-02-24,Électroménager,Réfrigérateur,2,774.74
2024-02-25,Électroménager,Cafetière,3,1176.72
2024-02-25,Mode,T-shirt coton,2,1009.34
2024-02-25,Électroménager,Bouilloire,3,2178.12
2024-02-25,Électroménager,Réfrigérateur,3,1162.11
2024-02-26,Bricolage,Perceuse,3,316.98
2024-02-26,Maison,Set casseroles,3,2120.55
2024-02-27,Mode,Robe été,1,281.69
2024-02-27,Bricolage,Échelle alu,1,354.67
2024-02-27,Mode,Robe été,1,296.52
2024-02-27,Mode,Jean homme,5,1361.35
2024-02-28,Sport,Raquette tennis,1,706.19
2024-02-28,Mode,Pull laine,1,884.49
2024-02-28,Électroménager,Aspirateur,1,191.18
2024-02-28,Sport,Raquette tennis,1,706.19
2024-02-29,Électroménager,Cafetière,1,392.24
2024-02-29,Électroménager,Réfrigérateur,1,387.37
2024-03-02,Mode,Baskets ville,3,1381.53
2024-03-02,Mode,Jean homme,2,544.54
2024-03-02,Sport,Tapis yoga,4,2106.75
2024-03-02,Électroménager,Réfrigérateur,2,774.74
2024-03-02,Sport,Tapis yoga,4,2633.44
2024-03-02,Bricolage,Peinture 5L,3,1827.0
2024-03-04,Sport,Vélo VTT,3,1635.63
2024-03-04,Mode,Pull laine,2,1768.98
2024-03-05,Maison,Rideau occultant,2,202.42
2024-03-05,Sport,Ballon foot,1,100.1
2024-03-07,Électroménager,Cafetière,4,1568.96
2024-03-07,Maison,Set casseroles,1,706.85
2024-03-09,Maison,Lampe LED,3,402.66
2024-03-09,Sport,Ballon foot,3,285.28
2024-03-11,Bricolage,Peinture 5L,4,2192.4
2024-03-11,Bricolage,Boîte à outils,1,83.21
2024-03-11,Sport,Maillot bain,5,1753.85
2024-03-12,Mode,Pull laine,5,4422.45
2024-03-12,Bricolage,Peinture 5L,4,2436.0
2024-03-12,Mode,Pull laine,2,1768.98
2024-03-12,Bricolage,Tournevis set,3,1908.84
2024-03-12,Bricolage,Peinture 5L,2,1218.0
2024-03-12,Mode,Jean homme,2,517.31
2024-03-13,Électroménager,Micro-ondes,3,1359.48
2024-03-13,Bricolage,Perceuse,2,211.32
2024-03-14,Sport,Maillot bain,1,350.77
2024-03-15,Mode,Veste hiver,1,655.99
2024-03-15,Sport,Haltères 10kg,1,98.3
2024-03-16,Électroménager,Cafetière,1,392.24
2024-03-16,Mode,Pull laine,5,4201.33
2024-03-16,Maison,Étagère bois,1,279.59
2024-03-16,Maison,Rideau occultant,3,303.63
2024-03-16,Électroménager,Bouilloire,4,2904.16
2024-03-16,Sport,Tapis yoga,3,1975.08
2024-03-17,Maison,Lampe LED,1,134.22
2024-03-17,Sport,Chaussures running,1,569.53
2024-03-18,Sport,Haltères 10kg,2,196.6
2024-03-18,Maison,Lampe LED,4,510.04
2024-03-18,Mode,Baskets ville,2,921.02
2024-03-19,Mode,Robe été,3,889.56
2024-03-19,Mode,Pull laine,5,4422.45
2024-03-19,Électroménager,Robot cuiseur,5,1249.85
2024-03-20,Sport,Vélo VTT,3,1635.63
2024-03-20,Bricolage,Peinture 5L,1,609.0
2024-03-20,Électroménager,Micro-ondes,2,906.32
2024-03-21,Bricolage,Échelle alu,3,1064.01
2024-03-21,Sport,Tapis yoga,3,1975.08
2024-03-22,Maison,Couette 220x240,5,1120.45
2024-03-22,Sport,Chaussures running,2,1139.06
2024-03-22,Maison,Étagère bois,3,838.77
2024-03-22,Maison,Canapé 3 places,1,246.23
2024-03-23,Maison,Canapé 3 places,4,984.92
2024-03-23,Mode,Baskets ville,2,921.02
2024-03-24,Sport,Chaussures running,3,1366.87
2024-03-24,Maison,Rideau occultant,4,404.84
2024-03-24,Bricolage,Perceuse,4,422.64
2024-03-24,Électroménager,Cafetière,5,1961.2
2024-03-25,Bricolage,Peinture 5L,1,609.0
2024-03-25,Électroménager,Aspirateur,2,382.36
2024-03-25,Maison,Set casseroles,4,2827.4
2024-03-26,Maison,Étagère bois,1,279.59
2024-03-26,Électroménager,Robot cuiseur,1,249.97
2024-03-26,Électroménager,Aspirateur,5,955.9
2024-03-26,Maison,Set casseroles,4,2827.4
2024-03-27,Mode,Baskets ville,3,1381.53
2024-03-27,Sport,Chaussures running,1,569.53
2024-03-27,Électroménager,Cafetière,3,1176.72
2024-03-27,Sport,Maillot bain,1,333.23
2024-03-28,Mode,Baskets ville,3,1381.53
2024-03-28,Électroménager,Bouilloire,5,3630.2
2024-03-29,Mode,Robe été,1,296.52
2024-03-29,Mode,Veste hiver,2,1246.38
2024-03-29,Sport,Maillot bain,1,350.77
2024-03-30,Mode,Veste hiver,3,1967.97
2024-03-30,Mode,Robe été,4,1186.08
2024-03-30,Électroménager,Micro-ondes,2,906.32
2024-03-31,Maison,Set casseroles,1,706.85
2024-03-31,Électroménager,Réfrigérateur,5,1936.85
2024-04-01,Maison,Canapé 3 places,2,492.46
2024-04-01,Mode,Baskets ville,2,921.02
2024-04-02,Électroménager,Aspirateur,4,726.48
2024-04-02,Bricolage,Tournevis set,5,3181.4
2024-04-02,Électroménager,Micro-ondes,5,2265.8
2024-04-02,Sport,Vélo VTT,3,1635.63
2024-04-02,Bricolage,Perceuse,3,316.98
2024-04-02,Maison,Étagère bois,1,265.61
2024-04-03,Mode,Baskets ville,4,1473.63
2024-04-05,Électroménager,Aspirateur,3,573.54
2024-04-05,Électroménager,Cafetière,2,784.48
2024-04-06,Électroménager,Cafetière,1,372.63
2024-04-06,Maison,Couette 220x240,1,224.09
2024-04-06,Sport,Ballon foot,3,300.3
2024-04-07,Mode,T-shirt coton,4,2018.68
2024-04-08,Électroménager,Micro-ondes,2,815.69
2024-04-08,Bricolage,Boîte à outils,2,166.42
2024-04-08,Mode,Jean homme,2,544.54
2024-04-09,Sport,Raquette tennis,3,2118.57
2024-04-09,Maison,Lampe LED,2,268.44
2024-04-10,Sport,Maillot bain,2,701.54
2024-04-10,Sport,Raquette tennis,6,4237.14
2024-04-10,Mode,Pull laine,1,884.49
2024-04-11,Sport,Raquette tennis,1,706.19
2024-04-11,Bricolage,Échelle alu,1,336.94
2024-04-11,Maison,Set casseroles,1,706.85
2024-04-11,Bricolage,Peinture 5L,1,609.0
2024-04-12,Électroménager,Cafetière,3,1176.72
2024-04-12,Électroménager,Robot cuiseur,2,399.95
2024-04-12,Électroménager,Micro-ondes,2,861.0
2024-04-12,Sport,Haltères 10kg,5,491.5
2024-04-13,Maison,Lampe LED,5,671.1
2024-04-13,Maison,Couette 220x240,1,224.09
2024-04-13,Bricolage,Peinture 5L,2,1218.0
2024-04-14,Maison,Couette 220x240,2,448.18
2024-04-14,Sport,Haltères 10kg,2,196.6
2024-04-14,Mode,Veste hiver,4,2623.96
2024-04-15,Sport,Raquette tennis,3,2118.57
2024-04-16,Maison,Canapé 3 places,4,984.92
2024-04-16,Maison,Couette 220x240,2,448.18
2024-04-16,Bricolage,Tournevis set,4,2545.12
2024-04-16,Électroménager,Réfrigérateur,1,387.37
2024-04-16,Sport,Raquette tennis,2,1341.76
2024-04-17,Électroménager,Réfrigérateur,6,2091.8
2024-04-17,Mode,Jean homme,2,544.54
2024-04-18,Électroménager,Réfrigérateur,1,387.37
2024-04-18,Sport,Vélo VTT,2,1090.42
2024-04-18,Électroménager,Aspirateur,5,955.9
2024-04-18,Bricolage,Boîte à outils,2,166.42
2024-04-18,Maison,Couette 220x240,1,201.68
2024-04-19,Sport,Tapis yoga,5,3291.8
2024-04-19,Électroménager,Aspirateur,2,363.24
2024-04-20,Électroménager,Robot cuiseur,1,249.97
2024-04-20,Maison,Couette 220x240,2,448.18
2024-04-21,Maison,Étagère bois,2,447.34
2024-04-21,Maison,Canapé 3 places,2,492.46
2024-04-21,Électroménager,Cafetière,5,1961.2
2024-04-22,Électroménager,Réfrigérateur,3,1162.11
2024-04-23,Sport,Chaussures running,1,569.53
2024-04-23,Sport,Ballon foot,2,200.2
2024-04-24,Bricolage,Peinture 5L,1,609.0
2024-04-24,Mode,Jean homme,2,544.54
2024-04-24,Sport,Ballon foot,3,300.3
2024-04-24,Mode,T-shirt coton,1,504.67
2024-04-25,Bricolage,Boîte à outils,4,332.84
2024-04-25,Électroménager,Robot cuiseur,1,249.97
2024-04-25,Maison,Lampe LED,3,402.66
2024-04-26,Mode,Pull laine,4,3537.96
2024-04-26,Sport,Haltères 10kg,3,294.9
2024-04-27,Mode,Baskets ville,2,921.02
2024-04-27,Sport,Maillot bain,2,701.54
2024-04-28,Mode,Veste hiver,3,1967.97
2024-04-28,Maison,Lampe LED,3,322.13
2024-04-28,Maison,Canapé 3 places,4,935.67
2024-04-28,Maison,Set casseroles,4,2827.4
2024-04-29,Électroménager,Aspirateur,1,191.18
2024-04-29,Maison,Rideau occultant,3,303.63
2024-04-29,Maison,Couette 220x240,3,672.27
2024-04-30,Sport,Raquette tennis,2,1412.38
2024-04-30,Mode,Veste hiver,3,1967.97
2024-04-30,Maison,Canapé 3 places,1,246.23
2024-04-30,Bricolage,Échelle alu,1,354.67
2024-04-30,Électroménager,Bouilloire,2,1452.08
2024-04-30,Maison,Canapé 3 places,2,492.46
2024-05-01,Bricolage,Tournevis set,3,1908.84
2024-05-01,Mode,Baskets ville,3,1381.53
2024-05-01,Sport,Maillot bain,5,1753.85
2024-05-01,Maison,Lampe LED,1,134.22
2024-05-01,Sport,Haltères 10kg,4,393.2
2024-05-02,Sport,Ballon foot,1,95.09
2024-05-03,Sport,Raquette tennis,1,706.19
2024-05-03,Mode,Jean homme,4,1089.08
2024-05-04,Électroménager,Aspirateur,3,573.54
2024-05-04,Mode,Veste hiver,2,1180.78
2024-05-05,Électroménager,Aspirateur,1,191.18
2024-05-05,Mode,Veste hiver,3,1967.97
2024-05-05,Maison,Lampe LED,2,268.44
2024-05-06,Bricolage,Peinture 5L,3,1827.0
2024-05-06,Sport,Vélo VTT,1,545.21
2024-05-07,Mode,Pull laine,5,4422.45
2024-05-07,Bricolage,Tournevis set,4,2417.86
2024-05-07,Mode,T-shirt coton,3,1362.61
2024-05-08,Sport,Raquette tennis,1,635.57
2024-05-08,Bricolage,Boîte à outils,4,332.84
2024-05-08,Sport,Ballon foot,1,100.1
2024-05-09,Maison,Rideau occultant,3,273.27
2024-05-10,Sport,Chaussures running,3,1708.59
2024-05-10,Électroménager,Aspirateur,4,764.72
2024-05-10,Bricolage,Perceuse,2,200.75
2024-05-10,Sport,Tapis yoga,2,1316.72
2024-05-12,Électroménager,Robot cuiseur,4,999.88
2024-05-12,Bricolage,Peinture 5L,1,609.0
2024-05-12,Sport,Raquette tennis,3,2012.64
2024-05-13,Maison,Lampe LED,2,268.44
2024-05-13,Maison,Étagère bois,4,1118.36
2024-05-13,Mode,Robe été,3,889.56
2024-05-14,Électroménager,Cafetière,1,392.24
2024-05-14,Mode,Pull laine,3,2653.47
2024-05-15,Bricolage,Boîte à outils,1,83.21
2024-05-15,Maison,Set casseroles,3,2120.55
2024-05-15,Sport,Maillot bain,1,350.77
2024-05-15,Électroménager,Micro-ondes,1,453.16
2024-05-15,Mode,T-shirt coton,1,504.67
2024-05-15,Mode,Veste hiver,1,655.99
2024-05-16,Bricolage,Perceuse,1,105.66
2024-05-18,Sport,Raquette tennis,3,2012.64
2024-05-18,Maison,Set casseroles,3,2120.55
2024-05-19,Électroménager,Cafetière,2,784.48
2024-05-19,Sport,Chaussures running,3,1708.59
2024-05-19,Bricolage,Tournevis set,2,1272.56
2024-05-19,Électroménager,Aspirateur,2,344.12
2024-05-20,Mode,Baskets ville,6,2763.06
2024-05-20,Bricolage,Perceuse,4,422.64
2024-05-20,Sport,Raquette tennis,1,706.19
2024-05-21,Bricolage,Boîte à outils,2,166.42
2024-05-21,Électroménager,Robot cuiseur,3,749.91
2024-05-22,Mode,Jean homme,3,775.97
2024-05-22,Maison,Canapé 3 places,3,590.95
2024-05-22,Maison,Lampe LED,6,805.32
2024-05-22,Bricolage,Perceuse,4,422.64
2024-05-22,Sport,Haltères 10kg,3,294.9
2024-05-23,Sport,Vélo VTT,1,517.95
2024-05-25,Électroménager,Bouilloire,1,726.04
2024-05-25,Électroménager,Bouilloire,5,3630.2
2024-05-25,Sport,Tapis yoga,5,3291.8
2024-05-25,Sport,Chaussures running,5,2847.65
2024-05-26,Sport,Ballon foot,3,300.3
2024-05-26,Maison,Set casseroles,3,2120.55
2024-05-27,Sport,Ballon foot,2,200.2
2024-05-27,Électroménager,Cafetière,4,1412.06
2024-05-27,Électroménager,Réfrigérateur,4,1549.48
2024-05-28,Bricolage,Perceuse,5,528.3
2024-05-29,Électroménager,Réfrigérateur,1,387.37
2024-05-29,Électroménager,Bouilloire,4,2904.16
2024-05-29,Sport,Tapis yoga,1,658.36
2024-05-30,Mode,Robe été,2,593.04
2024-05-31,Sport,Chaussures running,3,1537.73
2024-06-01,Maison,Rideau occultant,4,384.6
2024-06-02,Maison,Rideau occultant,1,101.21
2024-06-02,Mode,Robe été,3,889.56
2024-06-02,Mode,Baskets ville,3,1312.45
2024-06-02,Maison,Lampe LED,2,241.6
2024-06-03,Sport,Ballon foot,2,160.16
2024-06-03,Bricolage,Peinture 5L,1,609.0
2024-06-04,Sport,Tapis yoga,1,592.52
2024-06-04,Sport,Ballon foot,4,400.4
2024-06-05,Bricolage,Échelle alu,4,1418.68
2024-06-05,Maison,Lampe LED,5,603.99
2024-06-05,Sport,Haltères 10kg,3,294.9
2024-06-05,Mode,Pull laine,1,884.49
2024-06-06,Électroménager,Robot cuiseur,4,949.89
2024-06-06,Mode,Jean homme,1,272.27
2024-06-06,Mode,Baskets ville,4,1657.84
2024-06-06,Sport,Chaussures running,3,1708.59
2024-06-07,Maison,Couette 220x240,4,717.09
2024-06-07,Mode,Jean homme,2,544.54
2024-06-07,Électroménager,Robot cuiseur,3,749.91
2024-06-08,Électroménager,Micro-ondes,5,2265.8
2024-06-08,Mode,Veste hiver,4,2623.96
2024-06-08,Sport,Vélo VTT,2,872.34
2024-06-08,Mode,Pull laine,2,1768.98
2024-06-10,Sport,Vélo VTT,2,1035.9
2024-06-10,Bricolage,Tournevis set,5,3181.4
2024-06-11,Mode,Veste hiver,2,1311.98
2024-06-11,Maison,Étagère bois,3,796.83
2024-06-11,Mode,Veste hiver,1,655.99
2024-06-12,Électroménager,Micro-ondes,1,453.16
2024-06-12,Maison,Couette 220x240,2,448.18
2024-06-12,Maison,Rideau occultant,2,202.42
2024-06-12,Électroménager,Bouilloire,6,4356.24
2024-06-12,Maison,Couette 220x240,1,224.09
2024-06-12,Mode,T-shirt coton,2,1009.34
2024-06-12,Maison,Canapé 3 places,4,984.92
2024-06-13,Bricolage,Tournevis set,3,1908.84
2024-06-14,Mode,Robe été,4,1126.78
2024-06-14,Mode,T-shirt coton,1,504.67
2024-06-14,Bricolage,Tournevis set,1,636.28
2024-06-15,Bricolage,Boîte à outils,4,332.84
2024-06-15,Électroménager,Aspirateur,4,764.72
2024-06-16,Maison,Étagère bois,3,838.77
2024-06-16,Mode,Baskets ville,1,460.51
2024-06-18,Bricolage,Perceuse,1,105.66
2024-06-18,Bricolage,Perceuse,2,211.32
2024-06-18,Maison,Rideau occultant,2,192.3
2024-06-18,Sport,Chaussures running,3,1623.16
2024-06-19,Sport,Chaussures running,2,1139.06
2024-06-19,Bricolage,Boîte à outils,2,158.1
2024-06-19,Mode,Robe été,2,533.74
2024-06-19,Maison,Couette 220x240,1,224.09
2024-06-19,Bricolage,Peinture 5L,1,548.1
2024-06-20,Électroménager,Robot cuiseur,3,749.91
2024-06-20,Électroménager,Aspirateur,4,726.48
2024-06-21,Sport,Tapis yoga,4,2633.44
2024-06-21,Maison,Lampe LED,1,134.22
2024-06-22,Électroménager,Robot cuiseur,2,474.94
2024-06-22,Sport,Haltères 10kg,3,294.9
2024-06-23,Sport,Tapis yoga,3,1975.08
2024-06-23,Mode,Robe été,3,889.56
2024-06-23,Sport,Raquette tennis,5,3354.4
2024-06-24,Sport,Raquette tennis,3,2118.57
2024-06-24,Mode,Baskets ville,3,1381.53
2024-06-25,Électroménager,Robot cuiseur,5,1249.85
2024-06-26,Sport,Ballon foot,4,400.4
2024-06-26,Électroménager,Réfrigérateur,2,774.74
2024-06-27,Sport,Raquette tennis,3,2118.57
2024-06-27,Sport,Ballon foot,1,90.09
2024-06-27,Bricolage,Peinture 5L,2,1218.0
2024-06-28,Sport,Haltères 10kg,4,393.2
2024-06-28,Électroménager,Micro-ondes,1,453.16
2024-06-28,Électroménager,Micro-ondes,5,1812.64
2024-06-28,Bricolage,Boîte à outils,5,416.05
2024-06-28,Mode,T-shirt coton,3,1514.01
2024-06-29,Bricolage,Boîte à outils,2,166.42
2024-06-29,Mode,Jean homme,1,272.27
2024-06-29,Sport,Haltères 10kg,1,98.3
2024-06-30,Maison,Rideau occultant,1,101.21
2024-06-30,Bricolage,Tournevis set,3,1813.4
2024-06-30,Bricolage,Perceuse,4,422.64
2024-07-01,Sport,Haltères 10kg,8,786.4
2024-07-01,Maison,Lampe LED,1,107.38
2024-07-01,Mode,Veste hiver,3,1967.97
2024-07-02,Maison,Canapé 3 places,1,246.23
2024-07-03,Maison,Couette 220x240,1,212.89
2024-07-03,Maison,Couette 220x240,5,1120.45
2024-07-03,Sport,Tapis yoga,2,1316.72
2024-07-04,Électroménager,Robot cuiseur,1,249.97
2024-07-04,Bricolage,Boîte à outils,4,266.27
2024-07-05,Maison,Set casseroles,4,2827.4
2024-07-05,Sport,Maillot bain,7,2455.39
2024-07-06,Maison,Lampe LED,3,362.39
2024-07-06,Électroménager,Micro-ondes,2,906.32
2024-07-06,Mode,Veste hiver,3,1771.17
2024-07-07,Bricolage,Échelle alu,3,1064.01
2024-07-07,Électroménager,Cafetière,2,706.03
2024-07-08,Maison,Rideau occultant,4,323.87
2024-07-09,Électroménager,Bouilloire,1,726.04
2024-07-09,Maison,Canapé 3 places,5,1231.15
2024-07-09,Électroménager,Micro-ondes,2,906.32
2024-07-09,Maison,Couette 220x240,8,1792.72
2024-07-10,Sport,Vélo VTT,6,3107.7
2024-07-10,Bricolage,Boîte à outils,3,249.63
2024-07-10,Mode,Pull laine,3,2653.47
2024-07-11,Mode,Baskets ville,2,921.02
2024-07-11,Bricolage,Perceuse,6,633.96
2024-07-12,Électroménager,Micro-ondes,1,453.16
2024-07-12,Sport,Maillot bain,5,1578.46
2024-07-13,Bricolage,Tournevis set,2,1208.93
2024-07-14,Sport,Vélo VTT,7,3816.47
2024-07-15,Sport,Chaussures running,1,569.53
2024-07-15,Mode,Jean homme,4,1089.08
2024-07-15,Mode,Pull laine,3,2653.47
2024-07-16,Électroménager,Cafetière,4,1568.96
2024-07-16,Mode,Robe été,9,2668.68
2024-07-17,Maison,Rideau occultant,7,708.47
2024-07-17,Mode,Veste hiver,6,3935.94
2024-07-17,Bricolage,Peinture 5L,8,4872.0
2024-07-18,Maison,Étagère bois,1,279.59
2024-07-18,Mode,Robe été,5,1334.34
2024-07-18,Maison,Canapé 3 places,2,492.46
2024-07-18,Sport,Maillot bain,5,1753.85
2024-07-19,Électroménager,Micro-ondes,1,407.84
2024-07-19,Bricolage,Échelle alu,1,354.67
2024-07-19,Électroménager,Robot cuiseur,1,249.97
2024-07-19,Sport,Ballon foot,1,100.1
2024-07-22,Bricolage,Perceuse,5,528.3
2024-07-22,Sport,Tapis yoga,2,1316.72
2024-07-23,Maison,Lampe LED,2,241.6
2024-07-23,Mode,Jean homme,7,1905.89
2024-07-23,Maison,Set casseroles,6,4029.04
2024-07-24,Électroménager,Micro-ondes,3,1359.48
2024-07-24,Sport,Chaussures running,4,2278.12
2024-07-24,Mode,Robe été,8,2372.16
2024-07-25,Maison,Couette 220x240,4,896.36
2024-07-25,Mode,Robe été,6,1690.16
2024-07-25,Électroménager,Robot cuiseur,1,249.97
2024-07-26,Bricolage,Peinture 5L,6,3471.3
2024-07-26,Sport,Chaussures running,4,2164.21
2024-07-26,Électroménager,Cafetière,7,2745.68
2024-07-26,Sport,Maillot bain,1,350.77
2024-07-26,Mode,Jean homme,6,1633.62
2024-07-27,Électroménager,Aspirateur,3,573.54
2024-07-27,Mode,Baskets ville,4,1749.94
2024-07-28,Sport,Vélo VTT,6,3271.26
2024-07-28,Sport,Maillot bain,6,2104.62
2024-07-29,Bricolage,Boîte à outils,1,83.21
2024-07-29,Maison,Set casseroles,1,706.85
2024-07-29,Sport,Ballon foot,5,500.5
2024-07-29,Sport,Chaussures running,7,3986.71
2024-07-30,Mode,T-shirt coton,4,2018.68
2024-07-30,Mode,T-shirt coton,2,1009.34
2024-07-31,Bricolage,Tournevis set,3,1908.84
2024-07-31,Mode,Baskets ville,7,3223.57
2024-07-31,Mode,Baskets ville,5,2302.55
2024-07-31,Bricolage,Peinture 5L,6,3288.6
2024-07-31,Bricolage,Perceuse,3,253.58
2024-07-31,Sport,Haltères 10kg,4,393.2
2024-07-31,Bricolage,Boîte à outils,3,249.63
2024-07-31,Bricolage,Tournevis set,1,636.28
2024-08-01,Maison,Étagère bois,3,838.77
2024-08-01,Bricolage,Perceuse,3,316.98
2024-08-02,Sport,Chaussures running,1,512.58
2024-08-02,Sport,Chaussures running,2,1139.06
2024-08-02,Bricolage,Échelle alu,3,1064.01
2024-08-02,Sport,Raquette tennis,3,2118.57
2024-08-03,Mode,Robe été,4,1186.08
2024-08-03,Bricolage,Boîte à outils,3,249.63
2024-08-03,Mode,T-shirt coton,1,504.67
2024-08-04,Sport,Chaussures running,1,569.53
2024-08-05,Sport,Haltères 10kg,5,466.92
2024-08-05,Mode,Pull laine,1,884.49
2024-08-06,Électroménager,Bouilloire,2,1452.08
2024-08-06,Mode,Veste hiver,1,655.99
2024-08-06,Mode,Pull laine,2,1768.98
2024-08-07,Sport,Haltères 10kg,3,294.9
2024-08-07,Électroménager,Bouilloire,1,726.04
2024-08-07,Sport,Chaussures running,4,2278.12
2024-08-07,Électroménager,Robot cuiseur,1,249.97
2024-08-07,Maison,Rideau occultant,2,202.42
2024-08-08,Bricolage,Perceuse,1,105.66
2024-08-08,Bricolage,Perceuse,4,422.64
2024-08-08,Mode,T-shirt coton,5,2523.35
2024-08-08,Électroménager,Micro-ondes,5,2265.8
2024-08-09,Électroménager,Aspirateur,2,382.36
2024-08-10,Électroménager,Robot cuiseur,1,249.97
2024-08-11,Bricolage,Perceuse,2,190.19
2024-08-12,Électroménager,Réfrigérateur,2,774.74
2024-08-12,Maison,Rideau occultant,3,303.63
2024-08-13,Sport,Tapis yoga,1,658.36
2024-08-13,Électroménager,Micro-ondes,4,1812.64
2024-08-13,Mode,Jean homme,1,258.66
2024-08-13,Mode,Veste hiver,3,1967.97
2024-08-14,Mode,Robe été,1,296.52
2024-08-14,Sport,Vélo VTT,3,1635.63
2024-08-14,Bricolage,Peinture 5L,3,1827.0
2024-08-14,Électroménager,Bouilloire,2,1452.08
2024-08-14,Bricolage,Peinture 5L,3,1827.0
2024-08-15,Électroménager,Micro-ondes,1,453.16
2024-08-15,Mode,T-shirt coton,3,1514.01
2024-08-15,Maison,Étagère bois,4,1118.36
2024-08-15,Mode,Jean homme,2,544.54
2024-08-15,Sport,Chaussures running,3,1537.73
2024-08-16,Sport,Maillot bain,2,701.54
2024-08-16,Électroménager,Bouilloire,1,726.04
2024-08-17,Électroménager,Micro-ondes,2,906.32
2024-08-17,Sport,Chaussures running,2,1139.06
2024-08-17,Sport,Ballon foot,2,200.2
2024-08-17,Bricolage,Échelle alu,2,709.34
2024-08-18,Maison,Rideau occultant,2,202.42
2024-08-18,Mode,Veste hiver,1,655.99
2024-08-18,Bricolage,Tournevis set,1,509.02
2024-08-18,Bricolage,Échelle alu,3,1064.01
2024-08-20,Mode,Robe été,4,1186.08
2024-08-20,Sport,Maillot bain,5,1578.46
2024-08-20,Mode,Veste hiver,4,2623.96
2024-08-20,Mode,Pull laine,3,2653.47
2024-08-20,Sport,Tapis yoga,1,658.36
2024-08-21,Maison,Étagère bois,3,838.77
2024-08-21,Électroménager,Robot cuiseur,3,749.91
2024-08-21,Maison,Rideau occultant,2,202.42
2024-08-21,Maison,Couette 220x240,4,896.36
2024-08-22,Mode,T-shirt coton,3,1514.01
2024-08-22,Maison,Couette 220x240,3,672.27
2024-08-22,Mode,Veste hiver,1,590.39
2024-08-23,Bricolage,Tournevis set,1,636.28
2024-08-24,Maison,Rideau occultant,3,303.63
2024-08-24,Électroménager,Réfrigérateur,2,697.27
2024-08-24,Bricolage,Boîte à outils,3,224.67
2024-08-25,Sport,Vélo VTT,1,545.21
2024-08-25,Sport,Tapis yoga,4,2633.44
2024-08-26,Sport,Ballon foot,3,270.27
2024-08-26,Mode,T-shirt coton,2,1009.34
2024-08-26,Sport,Ballon foot,2,200.2
2024-08-26,Mode,Baskets ville,6,2210.45
2024-08-26,Mode,Veste hiver,4,2623.96
2024-08-27,Mode,Pull laine,4,3537.96
2024-08-27,Sport,Maillot bain,3,1052.31
2024-08-27,Sport,Haltères 10kg,2,186.77
2024-08-28,Bricolage,Peinture 5L,1,609.0
2024-08-29,Bricolage,Tournevis set,6,3817.68
2024-08-30,Bricolage,Échelle alu,3,1010.81
2024-08-30,Électroménager,Réfrigérateur,2,736.0
2024-08-31,Mode,Robe été,2,593.04
2024-08-31,Sport,Raquette tennis,3,2118.57
2024-08-31,Sport,Tapis yoga,1,658.36
2024-09-01,Maison,Set casseroles,3,2120.55
2024-09-01,Électroménager,Bouilloire,1,689.74
2024-09-01,Mode,Veste hiver,1,524.79
2024-09-01,Maison,Rideau occultant,3,303.63
2024-09-02,Maison,Set casseroles,2,1343.02
2024-09-02,Maison,Lampe LED,4,536.88
2024-09-02,Maison,Lampe LED,4,536.88
2024-09-02,Bricolage,Boîte à outils,2,166.42
2024-09-03,Mode,Veste hiver,3,1967.97
2024-09-03,Électroménager,Aspirateur,2,382.36
2024-09-03,Maison,Rideau occultant,1,101.21
2024-09-04,Sport,Chaussures running,2,1025.15
2024-09-04,Maison,Couette 220x240,6,1344.54
2024-09-05,Maison,Lampe LED,3,382.53
2024-09-05,Mode,Robe été,4,1186.08
2024-09-06,Sport,Haltères 10kg,1,98.3
2024-09-06,Maison,Canapé 3 places,2,467.84
2024-09-07,Mode,Pull laine,3,2653.47
2024-09-07,Électroménager,Aspirateur,2,363.24
2024-09-09,Maison,Rideau occultant,1,101.21
2024-09-09,Bricolage,Échelle alu,2,709.34
2024-09-09,Électroménager,Cafetière,1,392.24
2024-09-09,Sport,Tapis yoga,2,1316.72
2024-09-09,Mode,Veste hiver,4,2623.96
2024-09-11,Sport,Raquette tennis,3,1906.71
2024-09-12,Bricolage,Boîte à outils,3,249.63
2024-09-13,Sport,Chaussures running,2,1025.15
2024-09-14,Sport,Tapis yoga,2,1316.72
2024-09-15,Sport,Chaussures running,1,569.53
2024-09-15,Maison,Canapé 3 places,3,738.69
2024-09-15,Bricolage,Perceuse,2,211.32
2024-09-16,Mode,Jean homme,3,816.81
2024-09-17,Maison,Rideau occultant,3,242.9
2024-09-17,Mode,T-shirt coton,1,504.67
2024-09-17,Sport,Chaussures running,1,569.53
