id,raison_sociale,pays_declare,numero_tva,date_saisie,source_saisie
6135,Meridian Foods SA,BE,BE0823975906,2025-05-21,saisie_manuelle
6136,Vela Industries Sp. z o.o.,BE,0458764468,2025-05-24,saisie_manuelle
6137,Fabrica Logistics GmbH,PL,PL 5835 528909,2024-11-11,crm
6138,Baltic Foods SA,SE,SE27894105090,2025-01-18,import_fournisseur
6139,Batavia Services AB,PT,PT-416507735,2024-08-14,portail_client
6140,Atlantic Logistics GmbH,IT,IT44848014021,2024-04-15,portail_client
6141,Cobalt Consulting BV,DK,DK-30194381,2025-08-28,import_fournisseur
6142,Lumen Foods A/S,NL,NL786494151B93,2024-02-17,saisie_manuelle
6143,Verso Industries Lda,FR,fr66115751573,2024-01-02,import_fournisseur
6144,Ardent Industries Oy,IT,IT70833314665,2025-05-09,import_fournisseur
6145,Lusitania Materials GmbH,NL,NL 5083 94156B47,2024-04-14,crm
6146,Meridian Trading SpA,FI,FI7427720,2024-06-01,crm
6147,Prima Technologies SARL,IT,IT-51730938563,2024-06-16,import_fournisseur
6148,Granit Services SARL,IT,IT 6551 9652377,2025-04-24,crm
6149,Corvus Materials BV,BE,BE0840342873,2025-08-17,crm
6150,Solaris Logistics Oy,PL,PL60893946609,2025-01-07,import_fournisseur
6151,Fabrica Foods Oy,PL,PL 7598 813870,2025-05-04,saisie_manuelle
6152,Ardent Consulting AB,FR,FR3943750492,2024-08-18,crm
6153,Meridian Consulting Lda,LU,lu76785047,2024-03-10,saisie_manuelle
6154,Corvus Consulting A/S,PL,pl1544347584,2025-05-02,reprise_erp
6155,Papyrus Industries A/S,LU,LU53659110,2024-02-05,portail_client
6156,Kappa Technologies Sp. z o.o.,DK,DK71746887,2025-02-10,reprise_erp
6157,Delta Transports Oy,PT,PT326795437,2025-03-06,reprise_erp
6158,Batavia Materials BV,LU,lu67170421,2024-04-19,reprise_erp
6159,Lusitania Services GmbH,PL,PL9637717825,2024-09-20,reprise_erp
6160,Lusitania Industries NV,PL,PL7963909624,2024-09-11,import_fournisseur
6161,Verso Services A/S,PL,PL4346399375,2024-02-24,import_fournisseur
6162,Textil Industries BV,DK,DK42676756,2025-02-07,reprise_erp
6163,Vela Trading SA,FI,28694024,2024-04-13,saisie_manuelle
6164,Verso Transports Oy,FR,FR28713581346,2025-03-07,portail_client
6165,Granit Services Sp. z o.o.,IT,IT673085733847,2024-12-20,portail_client
6166,Metallo Materials SpA,FR,FR83346083960,2025-04-20,saisie_manuelle
6167,Solaris Services AB,PT,PT641447680,2024-03-18,crm
6168,Solaris Consulting SpA,PL,PL7458097652,2024-07-20,crm
6169,Lumen Transports Lda,SE,SE166457363901,2025-01-19,portail_client
6170,Delta Industries A/S,LU,LU64073625,2025-05-06,crm
6171,Delta Industries AB,IT,IT49759823609,2025-05-18,import_fournisseur
6172,Meridian Distribution SpA,PL,PL149226663,2024-09-11,import_fournisseur
6173,Baltic Trading NV,BE,BE1234648008,2024-02-09,reprise_erp
6174,Metallo Distribution SA,DK,DK64429760,2024-09-19,portail_client
6175,Nord Technologies BV,BE,BE12642512807,2025-03-10,portail_client
6176,Metallo Logistics SpA,ZZ,ZZ3569656905,2024-03-15,saisie_manuelle
6177,Delta Consulting A/S,BE,BE1869474148,2025-05-08,reprise_erp
6178,Verso Distribution SpA,FI,fi31538081,2025-03-28,import_fournisseur
6179,Meridian Consulting Oy,NL,916123935B90,2025-05-13,saisie_manuelle
6180,Lusitania Logistics A/S,SE,008195060201,2024-09-03,import_fournisseur
6181,Delta Foods Sp. z o.o.,PT,PT713579471,2024-06-23,portail_client
6182,Vertex Logistics Sp. z o.o.,FR,FR14502166608,2024-11-14,reprise_erp
6183,Textil Consulting SARL,PL,PL4245527298,2024-07-17,saisie_manuelle
6184,Ardent Materials SAS,QQ,QQ02739684490,2025-03-23,crm
6185,Prima Foods SpA,IT,  IT03356333462 ,2024-06-19,reprise_erp
6186,Azur Logistics BV,IT,IT45337481340,2024-04-03,import_fournisseur
6187,Vela Industries NV,FI,FI10873H64,2024-07-14,saisie_manuelle
6188,Metallo Industries Lda,LU,LU89491217,2024-09-13,saisie_manuelle
6189,Verso Industries SAS,LU,LU-46769185,2024-03-24,import_fournisseur
6190,Prima Consulting SARL,SE,null,2024-05-19,portail_client
6191,Fabrica Services Oy,BE,BE1530095420,2024-03-01,saisie_manuelle
6192,Lumen Materials SAS,FR,FR0582O875932,2025-05-12,import_fournisseur
6193,Vertex Services SARL,PT,pt310013631,2024-08-04,crm
6194,Ardent Transports NV,FI,FI39263481,2025-08-05,saisie_manuelle
6195,Lumen Foods BV,FR,FR44415022594,2024-01-09,reprise_erp
6196,Kappa Foods GmbH,FI,FI71505007,2025-07-11,crm
6197,Kappa Transports AB,IT,IT58661755437,2024-07-02,saisie_manuelle
6198,Prima Transports BV,XX,XX78426777033,2025-06-26,crm
6199,Lumen Services SARL,FI,FI00558952,2024-09-24,portail_client
6200,Fabrica Logistics SAS,SE,SE6120555070016,2025-08-03,saisie_manuelle
6201,Meridian Distribution A/S,BE,BE1753155630,2025-04-10,portail_client
6202,Kappa Foods SAS,DK,DK5094J988,2025-09-27,portail_client
6203,Vela Services Oy,LU,LU60316209,2024-10-31,crm
6204,Fabrica Services SA,FI,FI24009368,2024-10-22,crm
6205,Delta Foods A/S,PL,PL4691G34368,2025-07-22,reprise_erp
6206,Metallo Logistics Sp. z o.o.,NL,NL262135243B142,2025-01-28,import_fournisseur
6207,Vela Logistics AB,PT,PT101416440,2024-11-25,import_fournisseur
6208,Ardent Distribution SA,LU,LU43152250,2024-01-13,import_fournisseur
6209,Hanse Industries SpA,FR,FR-72957602547,2024-02-02,saisie_manuelle
6210,Metallo Distribution SAS,BE,BE0178718045,2025-06-22,reprise_erp
6211,Verso Trading Lda,FR,FRM0577762794,2025-09-16,import_fournisseur
6212,Batavia Distribution SARL,PT,PT819770086,2024-11-09,saisie_manuelle
6213,Batavia Logistics BV,ZZ,ZZ60134157,2025-05-23,reprise_erp
6214,Textil Industries SA,IT,IT83317991719,2024-06-24,portail_client
6215,Azur Services Lda,FI,FI35493167,2024-08-10,reprise_erp
6216,Delta Trading A/S,LU,lu31386046,2024-12-22,portail_client
6217,Corvus Foods SpA,BE,BE-1756835591,2025-06-30,reprise_erp
6218,Nord Consulting Lda,SE,SE439659747001,2024-07-16,import_fournisseur
6219,Nord Materials SpA,SE,SE982642489801,2024-03-08,crm
6220,Orion Trading A/S,FR,FR54315260102,2024-08-08,reprise_erp
6221,Corvus Distribution Lda,ZZ,ZZ056461310701,2024-10-16,crm
6222,Vela Transports Sp. z o.o.,BE,BE.0871048221,2025-06-18,import_fournisseur
6223,Kappa Industries Lda,DK,DK22855744,2024-03-24,portail_client
6224,Metallo Trading Oy,SE,SE048857523801,2024-08-10,import_fournisseur
6225,Corvus Transports SARL,DK,DK74947824,2024-01-19,portail_client
6226,Vela Technologies SA,BE,BE1369873095,2024-02-22,saisie_manuelle
6227,Fabrica Logistics BV,FR,FR64618773661,2024-02-24,crm
6228,Cobalt Services Sp. z o.o.,FR,null,2024-05-20,crm
6229,Lumen Distribution Oy,SE,SE-708867177601,2024-08-31,reprise_erp
6230,Cobalt Services SpA,IT,34269455647,2024-09-04,crm
6231,Vela Distribution Sp. z o.o.,PL,PL5775608762,2025-03-24,crm
6232,Lumen Trading SpA,PL,PL2419381292,2024-06-10,crm
6233,Nord Materials NV,BE,BE0996145359,2024-03-29,crm
6234,Corvus Logistics A/S,IT,IT167298492042,2024-11-13,import_fournisseur
6235,Nord Trading AB,NL,  NL271163811B09 ,2024-07-09,crm
6236,Granit Distribution NV,PT,PT804355509,2025-03-11,saisie_manuelle
6237,Vela Industries SpA,DK,DK77530665,2025-03-11,crm
6238,Papyrus Services SARL,NL,NL125455215B58,2025-06-27,reprise_erp
6239,Solaris Logistics SAS,NL,NL520267941B83,2025-04-21,crm
6240,Hanse Trading Oy,NL,NL427035806B5,2025-01-28,portail_client
6241,Delta Logistics A/S,LU,LU65008933,2025-08-31,saisie_manuelle
6242,Prima Transports SARL,LU,LU52506251,2024-07-25,crm
6243,Vela Trading Sp. z o.o.,DK,DK18496887,2024-09-17,reprise_erp
6244,Azur Technologies Oy,NL,NL835628620B6O,2024-05-12,crm
6245,Granit Logistics SAS,SE,SE903091738001,2025-06-19,import_fournisseur
6246,Textil Trading SA,IT,IT737417318290,2024-10-18,crm
6247,Vela Logistics Oy,XX,XX94043328,2024-09-04,reprise_erp
6248,Vertex Trading BV,NL,NL515241301B49,2024-05-15,portail_client
6249,Metallo Distribution GmbH,NL,NL613630725B45,2025-09-25,saisie_manuelle
6250,Fabrica Distribution Sp. z o.o.,PL,PL.5338658733,2025-04-23,reprise_erp
6251,Lumen Consulting SAS,IT,IT-80788595678,2025-02-09,portail_client
6252,Vertex Materials SpA,BE,be1566504567,2024-09-03,saisie_manuelle
6253,Kappa Materials SpA,ZZ,ZZ54751885,2024-04-17,saisie_manuelle
6254,Batavia Transports Sp. z o.o.,PL,PL 6828 480119,2024-04-11,reprise_erp
6255,Atlantic Foods SpA,BE,1777139473,2024-12-04,reprise_erp
6256,Nord Trading NV,FR,FR41121556871,2025-02-03,portail_client
6257,Azur Distribution SpA,IT,IT45950390729,2025-02-05,import_fournisseur
6258,Fabrica Transports Lda,IT,IT9911221075M,2024-10-14,import_fournisseur
6259,Kappa Consulting SA,NL,NL804625917B36,2024-01-05,saisie_manuelle
6260,Solaris Industries NV,PT,PT385079010,2024-07-24,portail_client
6261,Azur Transports Lda,BE,BE0185878829,2025-04-25,saisie_manuelle
6262,Ardent Distribution NV,PL,PL3603587955,2024-09-10,import_fournisseur
6263,Granit Technologies GmbH,PL,PL6455431682,2024-10-24,portail_client
6264,Orion Materials SpA,SE,314267382501,2024-10-10,reprise_erp
6265,Fabrica Logistics Sp. z o.o.,BE,BE1948257866,2025-07-11,import_fournisseur
6266,Lumen Transports A/S,IT,IT41139124862,2024-03-16,portail_client
6267,Azur Distribution BV,SE,SE177101041801,2025-06-28,saisie_manuelle
6268,Azur Trading Lda,FR,  FR67477059566 ,2025-07-17,saisie_manuelle
6269,Hanse Industries Sp. z o.o.,LU,LU49861824,2025-08-16,reprise_erp
6270,Granit Foods NV,LU,LU19874912,2025-03-27,reprise_erp
6271,Lumen Consulting NV,LU,  LU17731527 ,2024-08-16,saisie_manuelle
6272,Vertex Materials NV,IT,IT901347557281,2024-05-11,import_fournisseur
6273,Verso Technologies SA,BE,BE.0365820454,2025-03-14,reprise_erp
6274,Verso Logistics AB,SE,SE066158760701,2025-05-18,saisie_manuelle
6275,Orion Industries SAS,PL,PL9145093727,2024-09-21,portail_client
6276,Lumen Industries SpA,FR,FR551134133520,2024-07-09,crm
6277,Solaris Technologies Sp. z o.o.,FR,FR944702332008,2024-01-12,import_fournisseur
6278,Fabrica Trading AB,FR,FR61723044K89,2024-06-24,reprise_erp
6279,Nord Logistics A/S,LU,LU5568718,2024-09-09,reprise_erp
6280,Lumen Industries Lda,BE,  BE0776547257 ,2024-08-24,import_fournisseur
6281,Baltic Materials SA,PT,PT596122942,2024-03-26,saisie_manuelle
6282,Atlantic Industries A/S,DK,DK90578995,2024-12-21,portail_client
6283,Solaris Industries SpA,DK,DK5150O977,2024-05-14,reprise_erp
6284,Orion Industries GmbH,NL,NL514176192B66,2024-11-17,portail_client
6285,Vertex Foods A/S,LU,LU306123526,2024-06-27,reprise_erp
6286,Vertex Transports GmbH,SE,SE747589769501,2024-09-03,crm
6287,Batavia Foods A/S,SE,SE717597968601,2024-04-11,saisie_manuelle
6288,Granit Logistics BV,NL,NL 5543 37824B35,2024-09-14,saisie_manuelle
6289,Prima Transports GmbH,NL,NL.678599920B60,2025-05-29,import_fournisseur
6290,Metallo Consulting BV,PL,  PL2352970052 ,2025-04-26,import_fournisseur
6291,Kappa Foods Oy,SE,SE339810969801,2025-06-08,saisie_manuelle
6292,Granit Consulting Lda,IT,25262313171,2025-01-18,crm
6293,Corvus Technologies SAS,NL,NL168004215B9,2024-12-08,import_fournisseur
6294,Orion Foods A/S,DK,DK81925704,2025-05-17,crm
6295,Fabrica Technologies BV,PT,PT182402330,2024-12-24,import_fournisseur
6296,Metallo Technologies A/S,PL,PL4039167735,2024-10-18,crm
6297,Solaris Logistics A/S,BE,BE0167045183,2025-05-19,saisie_manuelle
6298,Granit Technologies SAS,PT,  PT605172978 ,2025-08-26,portail_client
6299,Atlantic Materials BV,BE,BE050643739,2024-08-25,import_fournisseur
6300,Fabrica Materials SARL,FI,FI74523760,2025-08-03,portail_client
6301,Lusitania Transports Sp. z o.o.,LU,LU47122256,2025-08-15,reprise_erp
6302,Corvus Services BV,FR,  FR82833759029 ,2025-08-09,portail_client
6303,Corvus Logistics SAS,IT,IT.48688905107,2024-02-02,portail_client
6304,Prima Materials BV,FR,FR08109418359,2024-03-04,reprise_erp
6305,Metallo Materials Sp. z o.o.,FI,  FI83062986 ,2025-08-09,saisie_manuelle
6306,Cobalt Services SA,DK,DK29373183,2024-03-24,import_fournisseur
6307,Papyrus Consulting SpA,IT,IT64699776703,2025-08-05,import_fournisseur
6308,Alpine Services AB,FR,FR71101884002,2025-08-01,crm
6309,Fabrica Trading NV,DK,DK67971671,2024-09-27,saisie_manuelle
6310,Lusitania Industries A/S,FI,FI 5158 6304,2024-07-30,crm
6311,Alpine Foods GmbH,PL,PL8055349J98,2025-08-13,crm
6312,Atlantic Distribution SpA,NL,NL-712686149B08,2024-02-17,crm
6313,Ardent Distribution NV,DK,DK36292520,2024-09-10,saisie_manuelle
6314,Azur Industries A/S,SE,SE838017443601,2025-02-08,import_fournisseur
6315,Prima Technologies AB,UK,UK4673491215,2025-04-12,saisie_manuelle
6316,Baltic Materials SA,PL,PL7894958624,2025-06-03,import_fournisseur
6317,Baltic Services SpA,LU,LU8536616,2024-12-31,portail_client
6318,Nord Materials GmbH,IT,IT81944750959,2025-03-13,saisie_manuelle
6319,Fabrica Services SA,FI,FI-24009368,2024-06-03,saisie_manuelle
6320,Textil Industries A/S,NL,NL942376390B53,2025-07-17,crm
6321,Prima Logistics BV,BE,BE0879769115,2025-06-26,portail_client
6322,Vela Logistics Lda,NL,NL.501395453B09,2025-02-11,saisie_manuelle
6323,Prima Technologies GmbH,IT,IT63662981883,2024-08-27,import_fournisseur
6324,Batavia Foods Lda,DK,DK85413841,2025-07-12,saisie_manuelle
6325,Delta Logistics SpA,FR,FR.20178674617,2025-03-25,portail_client
6326,Lumen Distribution SARL,PL,  PL4209933786 ,2024-06-15,saisie_manuelle
6327,Delta Transports Sp. z o.o.,BE,BE0423344426,2025-04-29,reprise_erp
6328,Global Transports NV,BE,1646048527,2025-06-28,saisie_manuelle
6329,Solaris Materials SpA,IT,IT80472084401,2024-09-02,reprise_erp
6330,Corvus Distribution AB,BE,be1279080701,2025-02-09,import_fournisseur
6331,Textil Technologies Sp. z o.o.,SE,SE268216812101,2025-06-25,import_fournisseur
6332,Corvus Materials SpA,BE,BE0365454923,2024-08-15,crm
6333,Orion Industries Lda,FI,FI07118073,2024-04-04,reprise_erp
6334,Papyrus Consulting NV,PT,PT676977003,2024-04-05,reprise_erp
6335,Vela Materials A/S,PT,PT894457985,2025-06-27,saisie_manuelle
6336,Solaris Logistics A/S,NL,NL424018032B56,2024-03-24,import_fournisseur
6337,Azur Consulting AB,FI,FI84463503,2024-11-19,import_fournisseur
6338,Baltic Transports Oy,FR,FR23959776430,2024-09-18,import_fournisseur
6339,Meridian Consulting SARL,PL,  PL7070930274 ,2025-03-26,reprise_erp
6340,Prima Foods SA,QQ,QQ48733393,2024-11-07,reprise_erp
6341,Azur Industries BV,FR,FR271658990088,2025-09-11,saisie_manuelle
6342,Hanse Industries Sp. z o.o.,PL,PL7067313064,2025-07-13,crm
6343,Cobalt Industries A/S,FR,fr32775591669,2025-02-10,saisie_manuelle
6344,Baltic Materials SARL,BE,be1546891662,2024-07-01,import_fournisseur
6345,Cobalt Industries SARL,LU,LU76600066,2025-05-23,import_fournisseur
6346,Corvus Logistics SpA,FI,FI661383289,2025-02-16,portail_client
6347,Vela Trading NV,DK,DK36389990,2025-07-14,reprise_erp
6348,Delta Consulting Lda,UK,UK76424459,2024-04-30,crm
6349,Batavia Consulting SARL,SE,SE6262322198017,2024-04-03,saisie_manuelle
6350,Solaris Foods A/S,BE,BEJ768625744,2024-02-16,crm
6351,Granit Distribution SARL,LU,LU25495O61,2024-07-13,portail_client
6352,Corvus Logistics BV,PL,PL5062807026,2024-04-06,crm
6353,Delta Consulting SAS,IT,IT6301323276,2025-07-03,crm
6354,Lusitania Materials SA,FI,FIG3476680,2024-02-28,import_fournisseur
6355,Metallo Technologies Lda,FR,39629628173,2025-07-09,import_fournisseur
6356,Delta Technologies BV,BE,BE1406460408,2024-08-24,portail_client
6357,Metallo Materials SAS,NL,NL434077744B52,2024-06-22,reprise_erp
6358,Orion Services Sp. z o.o.,PL,3340963733,2025-01-02,saisie_manuelle
6359,Textil Technologies SARL,FR,FR-25173564497,2024-04-18,saisie_manuelle
6360,Alpine Industries Sp. z o.o.,BE,  BE1471726362 ,2024-05-16,import_fournisseur
6361,Lusitania Distribution SA,NL,  NL605371842B76 ,2024-05-15,saisie_manuelle
6362,Nord Distribution A/S,FI,FI7456219J,2025-08-29,import_fournisseur
6363,Solaris Technologies GmbH,SE,SE030639651601,2024-08-11,portail_client
6364,Fabrica Consulting SA,SE,SE700515855001,2025-04-13,import_fournisseur
6365,Kappa Foods SA,NL,NL859004740B78,2024-03-03,reprise_erp
6366,Meridian Logistics SARL,IT,IT58081266338,2024-11-10,saisie_manuelle
6367,Alpine Trading SAS,LU,LU93395780,2025-03-02,reprise_erp
6368,Batavia Technologies GmbH,SE,500212130801,2025-06-29,import_fournisseur
6369,Textil Logistics SpA,LU,LU40201603,2024-02-07,reprise_erp
6370,Global Foods A/S,XX,XX03086639436,2024-12-01,import_fournisseur
6371,Azur Logistics Sp. z o.o.,PT,PT458863521,2024-09-30,portail_client
6372,Granit Distribution Sp. z o.o.,IT,IT695941041630,2024-04-07,portail_client
6373,Kappa Industries A/S,LU,LU31040158,2024-11-12,crm
6374,Ardent Trading GmbH,PL,PL2644680013,2024-04-11,crm
6375,Verso Trading AB,DK,DK84588296,2024-07-31,reprise_erp
6376,Ardent Consulting Sp. z o.o.,BE,BE052961K486,2025-09-20,reprise_erp
6377,Hanse Logistics Lda,DK,DK 1445 5221,2024-09-23,crm
6378,Textil Services Lda,BE,BE-1169040337,2024-03-04,portail_client
6379,Textil Distribution SA,PL,PL275565972,2024-04-09,import_fournisseur
6380,Verso Trading SpA,FR,FR08O33088169,2024-06-24,saisie_manuelle
6381,Orion Industries SARL,PT,PT666224340,2024-08-18,crm
6382,Baltic Logistics SA,NL,  NL517732993B29 ,2024-02-03,import_fournisseur
6383,Fabrica Trading A/S,PL,PL8706312416,2024-01-28,portail_client
6384,Nord Materials NV,LU,LU78659760,2024-09-22,import_fournisseur
6385,Lumen Transports NV,FR,FR93175861445,2024-03-24,import_fournisseur
6386,Verso Logistics Sp. z o.o.,IT,IT36431234651,2025-03-15,import_fournisseur
6387,Batavia Industries BV,PT,PT221256563,2024-03-24,crm
6388,Vela Industries SAS,PL,PL3075340919,2024-11-18,reprise_erp
6389,Alpine Materials GmbH,IT,IT43675954624,2025-03-04,saisie_manuelle
6390,Nord Consulting BV,IT,  IT98542035112 ,2024-09-28,saisie_manuelle
6391,Nord Technologies NV,SE,SE12151571550,2024-09-17,reprise_erp
6392,Delta Transports GmbH,SE,SE69014100240,2025-02-01,crm
6393,Solaris Technologies A/S,PL,-,2025-01-16,reprise_erp
6394,Fabrica Materials SA,FI,FI06189334,2024-01-14,portail_client
6395,Global Materials GmbH,NL,NL168398742B89,2025-08-17,saisie_manuelle
6396,Verso Transports Lda,NL,NL573218683B19,2024-07-29,crm
6397,Solaris Industries BV,DK,DK11295975,2024-11-25,saisie_manuelle
6398,Papyrus Services SA,SE,SE043107064801,2024-01-06,reprise_erp
6399,Lusitania Materials BV,IT,IT 9648 2689641,2024-08-29,reprise_erp
6400,Cobalt Technologies SpA,BE,BE176846688,2024-02-19,portail_client
6401,Verso Consulting NV,SE,SE.228719483701,2024-12-20,reprise_erp
6402,Kappa Logistics SpA,NL,NL397934750B60,2024-01-23,crm
6403,Lusitania Consulting Lda,DK,DK73900840,2025-07-08,saisie_manuelle
6404,Atlantic Trading SpA,IT,IT01305535649,2024-10-27,import_fournisseur
6405,Azur Materials Oy,SE,SE113211924701,2025-04-02,import_fournisseur
6406,Granit Technologies AB,DK,DK43674090,2025-04-23,reprise_erp
6407,Vertex Materials SAS,SE,se219609570301,2024-01-14,portail_client
6408,Fabrica Materials Sp. z o.o.,PT,PT366876309,2024-03-25,saisie_manuelle
6409,Hanse Consulting Lda,FR,FR.24553850798,2024-09-10,crm
6410,Corvus Materials SpA,GB,GB006809091B73,2025-02-27,reprise_erp
6411,Atlantic Services Sp. z o.o.,BE,BE 1105 148318,2025-05-09,import_fournisseur
6412,Meridian Logistics Oy,NL,NL616405222B27,2025-06-03,reprise_erp
6413,Lumen Technologies NV,PT,174699557,2025-09-13,saisie_manuelle
6414,Azur Consulting SAS,PL,PL34589H1141,2024-09-22,import_fournisseur
6415,Corvus Technologies Sp. z o.o.,PT,PT-576698466,2024-10-01,reprise_erp
6416,Meridian Consulting SAS,BE,BE1584763432,2024-03-26,portail_client
6417,Vertex Industries Sp. z o.o.,DK,DK99218817,2025-05-26,portail_client
6418,Batavia Materials Lda,XX,XX40740855,2024-04-16,saisie_manuelle
6419,Textil Foods GmbH,SE,SE 6592 29655901,2025-07-22,reprise_erp
6420,Cobalt Materials AB,FR,FR68517126160,2024-04-25,portail_client
6421,Baltic Trading Sp. z o.o.,NL,NL335680290B13,2024-10-26,saisie_manuelle
6422,Verso Foods BV,QQ,QQ45141147004,2025-08-25,reprise_erp
6423,Kappa Technologies AB,SE,SE735853173401,2025-01-06,reprise_erp
6424,Ardent Trading NV,FR,FR32622898925,2025-04-08,saisie_manuelle
6425,Azur Foods Sp. z o.o.,BE,be1738201297,2024-10-01,portail_client
6426,Solaris Materials BV,PT,PT332957918,2025-02-19,portail_client
6427,Delta Transports A/S,PL,PL2669945074,2025-09-12,import_fournisseur
6428,Papyrus Distribution SpA,LU,LU643160462,2024-07-20,saisie_manuelle
6429,Verso Services GmbH,BE,BE1280666452,2025-07-14,crm
6430,Cobalt Consulting GmbH,DK,DK.50932001,2025-09-23,saisie_manuelle
6431,Corvus Services NV,FI,FI31155486,2024-05-28,reprise_erp
6432,Delta Trading AB,LU,LU21356150,2024-10-17,crm
6433,Vertex Industries Oy,DK,DK82428275,2025-01-29,crm
6434,Lumen Materials NV,PL,PL6993708485,2025-02-07,crm
6435,Nord Materials SA,SE,null,2024-02-20,crm
6436,Meridian Services SA,PL,  5504411220 ,2024-05-13,portail_client
6437,Ardent Technologies Oy,FR,FR82677206504,2024-09-25,crm
6438,Vertex Foods SARL,BE,BE0705515444,2024-03-10,import_fournisseur
6439,Global Services AB,SE,SE000620094301,2024-09-19,reprise_erp
6440,Nord Services SARL,NL,nl391259829b95,2024-05-19,crm
6441,Nord Industries SARL,PL,PL6750826724,2024-08-14,reprise_erp
6442,Prima Materials GmbH,PT,,2024-12-05,portail_client
6443,Global Logistics Lda,XX,XX70018107345,2025-05-08,portail_client
6444,Solaris Distribution BV,LU,  LU43678057 ,2025-09-25,portail_client
6445,Lusitania Industries SAS,FI,FI27070834,2025-07-09,portail_client
6446,Prima Consulting SARL,DK,DK95356850,2024-01-24,import_fournisseur
6447,Global Industries A/S,DK,DK88309960,2024-08-04,import_fournisseur
6448,Granit Trading Lda,FR,FR5318969576,2024-12-17,portail_client
6449,Hanse Industries Lda,IT,IT58009373398,2024-12-10,crm
6450,Granit Consulting GmbH,DK,DK49784864,2024-11-21,saisie_manuelle
6451,Vela Industries BV,SE,SE567343195201,2024-10-02,crm
6452,Alpine Consulting SA,PT,pt556428854,2024-06-01,import_fournisseur
6453,Textil Transports Oy,DK,DK51218632,2024-10-06,import_fournisseur
6454,Alpine Transports SAS,QQ,QQ90988336,2024-01-12,reprise_erp
6455,Cobalt Technologies A/S,NL,452696112B38,2024-03-14,import_fournisseur
6456,Vertex Logistics Sp. z o.o.,DK,DK73323762,2024-04-08,saisie_manuelle
6457,Delta Services Lda,LU,LU32431802,2024-07-30,reprise_erp
6458,Metallo Technologies BV,FR,FR692608915103,2024-09-17,saisie_manuelle
6459,Lumen Consulting SpA,FR,FR2117432908,2024-06-08,portail_client
6460,Delta Trading Oy,PT,PT888833610,2025-03-06,crm
6461,Nord Services Oy,PL,PL13G8031349,2024-12-12,crm
6462,Alpine Foods NV,LU,LU597659247,2025-07-13,reprise_erp
6463,Prima Services GmbH,DK,  DK23857324 ,2024-09-27,saisie_manuelle
6464,Batavia Distribution SpA,PL,PL2060321786,2025-09-27,reprise_erp
6465,Prima Foods Oy,IT,IT 2660 0185719,2025-09-10,reprise_erp
6466,Papyrus Transports SARL,IT,IT-80969281767,2024-11-15,reprise_erp
6467,Corvus Foods SARL,PT,PT445175648,2024-01-31,saisie_manuelle
6468,Verso Materials Lda,IT,,2025-06-14,crm
6469,Papyrus Logistics Sp. z o.o.,LU,LU89613684,2024-05-04,crm
6470,Alpine Transports SA,FI,FI01453677,2025-08-24,crm
6471,Atlantic Foods Sp. z o.o.,FI,56312548,2025-01-24,reprise_erp
6472,Meridian Industries NV,IT,IT90074477366,2024-06-18,reprise_erp
6473,Fabrica Foods Lda,BE,BE136991714,2025-05-07,saisie_manuelle
6474,Metallo Consulting SARL,NL,NL.932746056B67,2024-04-29,crm
6475,Delta Logistics NV,FI,FI87162677,2025-06-23,reprise_erp
6476,Verso Logistics Sp. z o.o.,NL,NL366342046B24,2024-11-14,reprise_erp
6477,Lusitania Transports SAS,NL,NL425056802B18,2025-05-27,reprise_erp
6478,Granit Logistics SAS,FI,FI88833970,2024-10-15,reprise_erp
6479,Lusitania Consulting BV,NL,NL954327275B28,2024-03-11,portail_client
6480,Vela Technologies Oy,PL,PL5787058706,2025-01-29,reprise_erp
6481,Nord Distribution SA,FI,FI-80496922,2025-09-17,crm
6482,Vela Services Lda,PL,PL6296698779,2025-09-27,saisie_manuelle
6483,Textil Foods SA,IT,IT0889238505,2025-03-29,reprise_erp
6484,Azur Technologies Sp. z o.o.,SE,739485322501,2025-01-09,portail_client
6485,Prima Foods SARL,NL,NL682183003B50,2025-05-29,saisie_manuelle
6486,Orion Services Lda,FR,FR67720415780,2024-02-28,import_fournisseur
6487,Global Distribution BV,IT,IT82630437406,2024-06-25,crm
6488,Orion Distribution SARL,FI,FI07226168,2024-11-14,portail_client
6489,Solaris Transports BV,IT,IT80362856249,2024-08-06,crm
6490,Prima Trading NV,PL,PL4465258005,2024-12-12,saisie_manuelle
6491,Granit Technologies GmbH,IT,IT131075051935,2024-08-11,saisie_manuelle
6492,Cobalt Consulting Oy,SE, ,2024-05-09,crm
6493,Cobalt Foods BV,DK,DK61038531,2024-08-09,crm
6494,Meridian Services SAS,DK,DK69260560,2024-11-19,crm
6495,Delta Materials SpA,BE,BE.0365255874,2024-06-15,reprise_erp
6496,Delta Transports SARL,XX,XX66146273595,2024-09-19,import_fournisseur
6497,Delta Technologies AB,DK,79034983,2025-05-23,portail_client
6498,Kappa Foods GmbH,BE,BE 1469 691441,2025-09-20,crm
6499,Vertex Industries SA,NL,NL436987922B64,2024-06-12,crm
6500,Cobalt Materials BV,IT,IT12930284166,2024-06-11,reprise_erp
6501,Atlantic Industries SA,PT,PT560388220,2025-05-11,saisie_manuelle
6502,Vela Logistics SpA,IT,IT.92692112029,2024-01-14,portail_client
6503,Lumen Materials A/S,PT,PT-723780412,2024-05-30,import_fournisseur
